# LankaGlyphset rename report
# generated: 2026-06-11T08:53:46
# font: /tmp/AbhayaLibre.glyphs
# DRY_RUN: True
# total glyphs: 1203
# status counts: {'unchanged': 107, 'renamed': 701, 'skip': 388, 'ambiguous': 7}
# renamed but NOT in canonical YAML set (flagged): 386
# ambiguous (left untouched): 7
# feature-code replacements: {'classes': 0, 'featurePrefixes': 1779, 'features': 200} (total 1979)
#   featurePrefixes 'p1': 1779
#   features 'f0': 188
#   features 'f27': 12
#
old_name	new_name	status	in_standard	note
ttha-u-sinh	tthU-sinh	renamed	False	consonant+vowel-sign ligature
dda-u-sinh	ddU-sinh	renamed	False	consonant+vowel-sign ligature
ddha-u-sinh	ddhU-sinh	renamed	False	consonant+vowel-sign ligature
nna-u-sinh	nnU-sinh	renamed	False	consonant+vowel-sign ligature
nndda-u-sinh	nnddU-sinh	renamed	False	consonant+vowel-sign ligature
ta-u-sinh	tU-sinh	renamed	True	consonant+vowel-sign ligature
tha-u-sinh	thU-sinh	renamed	False	consonant+vowel-sign ligature
da-u-sinh	dU-sinh	renamed	True	consonant+vowel-sign ligature
dha-u-sinh	dhU-sinh	renamed	False	consonant+vowel-sign ligature
na-u-sinh	nU-sinh	renamed	False	consonant+vowel-sign ligature
nda-u-sinh	ndU-sinh	renamed	True	consonant+vowel-sign ligature
pa-u-sinh	pU-sinh	renamed	False	consonant+vowel-sign ligature
pha-u-sinh	phU-sinh	renamed	False	consonant+vowel-sign ligature
ba-u-sinh	bU-sinh	renamed	False	consonant+vowel-sign ligature
bha-u-sinh	bhU-sinh	renamed	True	consonant+vowel-sign ligature
ma-u-sinh	mU-sinh	renamed	False	consonant+vowel-sign ligature
mba-u-sinh	mbU-sinh	renamed	False	consonant+vowel-sign ligature
ya-u-sinh	yU-sinh	renamed	False	consonant+vowel-sign ligature
ra-u-sinh	rU-sinh	renamed	True	consonant+vowel-sign ligature
la-u-sinh	lU-sinh	renamed	True	consonant+vowel-sign ligature
va-u-sinh	vU-sinh	renamed	False	consonant+vowel-sign ligature
sha-u-sinh	shU-sinh	renamed	True	consonant+vowel-sign ligature
ssa-u-sinh	ssU-sinh	renamed	False	consonant+vowel-sign ligature
sa-u-sinh	sU-sinh	renamed	False	consonant+vowel-sign ligature
ha-u-sinh	hU-sinh	renamed	False	consonant+vowel-sign ligature
lla-u-sinh	llU-sinh	renamed	True	consonant+vowel-sign ligature
fa-u-sinh	fU-sinh	renamed	False	consonant+vowel-sign ligature
ka_ssa-u-sinh	kSsU-sinh	renamed	False	consonant+vowel-sign ligature
ka_va-u-sinh	kVU-sinh	renamed	False	consonant+vowel-sign ligature
ta_va-u-sinh	tVU-sinh	renamed	False	consonant+vowel-sign ligature
ta_tha-u-sinh	tThU-sinh	renamed	False	consonant+vowel-sign ligature
na_da-u-sinh	nDU-sinh	renamed	False	consonant+vowel-sign ligature
na_dha-u-sinh	nDhU-sinh	renamed	False	consonant+vowel-sign ligature
